,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
156449,2019092210,40.652,-80.0549,BAKERSTOWN/WARRENDALE RD,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
156471,2019092352,40.6398,-80.1381,WARRENDALE BAYNE RD,1,1.0,3.0,1.0,2019,2,17.0,2019-9,True
156482,2019092445,40.5231,-80.0736,CAMP HORNE RD,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
156485,2019092475,40.4405,-79.9602,5TH AV,1,1.0,3.0,1.0,2019,7,17.0,2019-9,True
156517,2019092810,40.447,-80.0121,GENERAL ROBINSON AV,1,1.0,3.0,1.0,2019,7,17.0,2019-9,True
156537,2019092991,40.5138,-80.0027,BROOKVIEW LN,1,1.0,3.0,1.0,2019,2,17.0,2019-9,True
156538,2019093032,40.46,-79.7587,CENTER RD,1,1.0,3.0,1.0,2019,2,17.0,2019-9,True
156565,2019093255,40.5143,-80.2172,BEAVER GRADE RD,1,1.0,3.0,1.0,2019,5,17.0,2019-9,True
156574,2019093264,40.3601,-79.9946,BAPTIST RD,1,1.0,3.0,1.0,2019,5,17.0,2019-9,True
156577,2019093311,40.3844,-80.1861,UNION AV,1,1.0,3.0,1.0,2019,2,17.0,2019-9,True
156595,2019086836,40.3531,-79.917,LEBANON CHURCH RD,1,1.0,3.0,1.0,2019,4,17.0,2019-8,True
156602,2019086849,40.5122,-79.9579,PENNVIEW ST,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
156635,2019093716,40.3234,-80.0556,SOUTH PARK RD,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
156640,2019093802,40.4644,-79.9267,STATION ST,1,1.0,3.0,1.0,2019,4,17.0,2019-9,True
156642,2019093806,40.449,-79.9519,N DITHRIDGE ST,1,1.0,3.0,1.0,2019,2,17.0,2019-9,True
156662,2019083632,40.3773,-79.8014,ISAAC ST,1,1.0,3.0,1.0,2019,4,17.0,2019-8,True
156674,2019093983,40.5742,-79.926,MIDDLE RD,1,1.0,3.0,1.0,2019,4,17.0,2019-9,True
156718,2019094115,40.4161,-80.0589,PENN LINCOLN PY,1,1.0,3.0,1.0,2019,2,17.0,2019-9,True
156759,2019069524,40.3911,-79.9818,RAVEN ST,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
156769,2019069577,40.4006,-80.0642,GREENTREE RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
156778,2019069662,40.4269,-79.9807,18TH ST,1,1.0,3.0,1.0,2019,1,17.0,2019-7,True
156787,2019069863,40.5054,-80.223,UNIVERSITY BL,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
156788,2019069864,40.5261,-80.1832,FIFTH AV,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
156839,2019063642,40.4875,-79.8827,FOX CHAPEL RD,1,1.0,3.0,1.0,2019,1,17.0,2019-6,True
156855,2019070051,40.3268,-80.0768,SOUTHERN HIGHLANDS DR,1,1.0,3.0,1.0,2019,5,17.0,2019-7,True
156876,2019094324,40.4206,-79.9334,FRANK SQ,1,1.0,3.0,1.0,2019,5,17.0,2019-9,True
156885,2019094397,40.2784,-79.9052,SR 0051 SH,1,1.0,3.0,1.0,2019,5,17.0,2019-9,True
156922,2019094626,40.5012,-80.1812,EWING RD,1,1.0,3.0,1.0,2019,5,17.0,2019-9,True
156931,2019094672,40.3464,-79.8161,LINCOLN WY,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
156949,2019094853,40.4893,-80.2952,LINCOLN HW,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
156956,2019094942,40.3399,-80.052,DORCHESTER DR,1,1.0,3.0,1.0,2019,5,17.0,2019-9,True
156967,2019079792,40.4258,-80.1247,PENN LINCOLN PY,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
156988,2019080103,40.4237,-79.7546,MOSSIDE BL,1,1.0,3.0,9.0,2019,6,17.0,2019-8,True
157033,2019066318,40.4498,-79.827,TULIP RD,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
